# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 1.2095 h/Mpc,
# number of wavenumbers equal to 642
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.553230510836e-02       1.898644006821e+04 
       3.569626630004e-02       1.890362523154e+04 
       3.586121352401e-02       1.882095966422e+04 
       3.602717819443e-02       1.873829848579e+04 
       3.619419303275e-02       1.865563864757e+04 
       3.636229213890e-02       1.857304347639e+04 
       3.653151106721e-02       1.849036546139e+04 
       3.670188690769e-02       1.840783545703e+04 
       3.687345837300e-02       1.832519891606e+04 
       3.704626589165e-02       1.824275882235e+04 
       3.722035170788e-02       1.816028567079e+04 
       3.739575998889e-02       1.807767456106e+04 
       3.757253694007e-02       1.799527748729e+04 
       3.775073092885e-02       1.791291188461e+04 
       3.793039261813e-02       1.783046582086e+04 
       3.811157510993e-02       1.774804595036e+04 
       3.829433410053e-02       1.766566086369e+04 
       3.847872804786e-02       1.758336314699e+04 
       3.866481835261e-02       1.750106349394e+04 
       3.885266955423e-02       1.741867818308e+04 
       3.904234954340e-02       1.733643397547e+04 
       3.923392979254e-02       1.725400896360e+04 
       3.942748560634e-02       1.717168241395e+04 
       3.962309639433e-02       1.708938216862e+04 
       3.982084596782e-02       1.700708736291e+04 
       4.002082286391e-02       1.692464695236e+04 
       4.022312069950e-02       1.684230393205e+04 
       4.042783855865e-02       1.675987021348e+04 
       4.063508141714e-02       1.667742767803e+04 
       4.084496060852e-02       1.659499006612e+04 
       4.105759433649e-02       1.651239423663e+04 
       4.127310823933e-02       1.642975480269e+04 
       4.149163601252e-02       1.634709340777e+04 
       4.171332009712e-02       1.626441985370e+04 
       4.193831244199e-02       1.618153886427e+04 
       4.216677534964e-02       1.609862905465e+04 
       4.239888241663e-02       1.601552812899e+04 
       4.263481958149e-02       1.593234847301e+04 
       4.287478629474e-02       1.584905826123e+04 
       4.311899682846e-02       1.576552810361e+04 
       4.336768174524e-02       1.568193059435e+04 
       4.362108955025e-02       1.559812182770e+04 
       4.387948855354e-02       1.551409547239e+04 
       4.414316897539e-02       1.542986416587e+04 
       4.441244533236e-02       1.534537943129e+04 
       4.468765914976e-02       1.526068035355e+04 
       4.496918205388e-02       1.517550289362e+04 
       4.525741930833e-02       1.509014084213e+04 
       4.555281387104e-02       1.500444458152e+04 
       4.585585106445e-02       1.491832392468e+04 
       4.616706396989e-02       1.483184743998e+04 
       4.648703968140e-02       1.474491444251e+04 
       4.681642658297e-02       1.465744103256e+04 
       4.715594284993e-02       1.456950539956e+04 
       4.750638642088e-02       1.448095234240e+04 
       4.786864674355e-02       1.439169482546e+04 
       4.824371867078e-02       1.430180134192e+04 
       4.863271897383e-02       1.421123512763e+04 
       4.903690605674e-02       1.411964485844e+04 
       4.945770360315e-02       1.402719724351e+04 
       4.989672907547e-02       1.393372259652e+04 
       5.035582822655e-02       1.383909727905e+04 
       5.083711708952e-02       1.374319949430e+04 
       5.134303329775e-02       1.364573580356e+04 
       5.187639907103e-02       1.354677580617e+04 
       5.244049879800e-02       1.344589119019e+04 
       5.303917485070e-02       1.334284186395e+04 
       5.367694605397e-02       1.323732213834e+04 
       5.435915399902e-02       1.312885399481e+04 
       5.509214288700e-02       1.301690964065e+04 
       5.588347826400e-02       1.290077623196e+04 
       5.674220773275e-02       1.277952533818e+04 
       5.767916029503e-02       1.265192043044e+04 
       5.870726633137e-02       1.251626934820e+04 
       5.984185045155e-02       1.237031754636e+04 
       6.110079433795e-02       1.221096173419e+04 
       6.250437557670e-02       1.203396592717e+04 
       6.407446341792e-02       1.183375585537e+04 
       6.583264393306e-02       1.160305983819e+04 
       6.779691356881e-02       1.133326921256e+04 
       6.997710132746e-02       1.101541294442e+04 
       7.237030983891e-02       1.064231980502e+04 
       7.495880657461e-02       1.021149299478e+04 
       7.771242163568e-02       9.727819628980e+03 
       8.059491367242e-02       9.204292563947e+03 
       8.357110109487e-02       8.660227138739e+03 
       8.661162634686e-02       8.117792516324e+03 
       8.969450392699e-02       7.598344262825e+03 
       9.280445770494e-02       7.119551664851e+03 
       9.593139097648e-02       6.693749182744e+03 
       9.906884264223e-02       6.327484116349e+03 
       1.022127616812e-01       6.021803304851e+03 
       1.053606401582e-01       5.773112332042e+03 
       1.085109374391e-01       5.574144443446e+03 
       1.116627115058e-01       5.415085084901e+03 
       1.148153879185e-01       5.284607557475e+03 
       1.179686168877e-01       5.170953031725e+03 
       1.211221855380e-01       5.062889578144e+03 
       1.242759642999e-01       4.950791436695e+03 
       1.274298742475e-01       4.827377083924e+03 
       1.305838672308e-01       4.688250246982e+03 
       1.337379138014e-01       4.532121392780e+03 
       1.368919958801e-01       4.360549181991e+03 
       1.400461023038e-01       4.177415093381e+03 
       1.432002261216e-01       3.988202187059e+03 
       1.463543629527e-01       3.799075632669e+03 
       1.495085099887e-01       3.616116301780e+03 
       1.526626653871e-01       3.444642583162e+03 
       1.558168279022e-01       3.288736231939e+03 
       1.589709966601e-01       3.150981738863e+03 
       1.621251710213e-01       3.032393905643e+03 
       1.652793504968e-01       2.932526778464e+03 
       1.684335346960e-01       2.849671335049e+03 
       1.715877232949e-01       2.781137607126e+03 
       1.747419160158e-01       2.723585716460e+03 
       1.778961126150e-01       2.673409026888e+03 
       1.810503128741e-01       2.627607534604e+03 
       1.842045165953e-01       2.582039594300e+03 
       1.873587235971e-01       2.533787427532e+03 
       1.905129337122e-01       2.480756695048e+03 
       1.936671467853e-01       2.421856925104e+03 
       1.968213626720e-01       2.357032953399e+03 
       1.999755812373e-01       2.287137073792e+03 
       2.031298023552e-01       2.213686733792e+03 
       2.062840259073e-01       2.138582631480e+03 
       2.094382517827e-01       2.063813129006e+03 
       2.125924798772e-01       1.991237285084e+03 
       2.157467100927e-01       1.922449743144e+03 
       2.189009423367e-01       1.858711912511e+03 
       2.220551765222e-01       1.800869449186e+03 
       2.252094125671e-01       1.749340456321e+03 
       2.283636503938e-01       1.704114699299e+03 
       2.315178899289e-01       1.664716985962e+03 
       2.346721311031e-01       1.630335466062e+03 
       2.378263738507e-01       1.599884304808e+03 
       2.409806181097e-01       1.572168299148e+03 
       2.441348638209e-01       1.545938459789e+03 
       2.472891109285e-01       1.520115418047e+03 
       2.504433593794e-01       1.493770843383e+03 
       2.535976091232e-01       1.466296542223e+03 
       2.567518601118e-01       1.437250904239e+03 
       2.599061122999e-01       1.406515283377e+03 
