# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  125       4.638843778915e-10       1.405610267351e-13      -5.080519855828e-12       0.000000000000e+00       5.933770193001e-12       9.500337674599e-13      -5.624544735220e-15 
  126       4.684029200258e-10       1.414647756990e-13      -5.147263954537e-12       0.000000000000e+00       5.804526391993e-12       9.343908683278e-13      -5.586221265989e-15 
  127       4.729276830576e-10       1.423088287819e-13      -5.212257944556e-12       0.000000000000e+00       5.678849487506e-12       9.191677215371e-13      -5.547265359086e-15 
  128       4.774572236766e-10       1.430922964613e-13      -5.275430236376e-12       0.000000000000e+00       5.556650091195e-12       9.042637576372e-13      -5.504917134082e-15 
  129       4.819899889511e-10       1.438143422983e-13      -5.336709388921e-12       0.000000000000e+00       5.437816490158e-12       8.895700135752e-13      -5.456241186227e-15 
  130       4.865243136377e-10       1.444741844649e-13      -5.396024140083e-12       0.000000000000e+00       5.322214072228e-12       8.749689517423e-13      -5.398123145816e-15 
  131       4.910586079602e-10       1.450711131163e-13      -5.453304543547e-12       0.000000000000e+00       5.209704922497e-12       8.603761911221e-13      -5.328537270548e-15 
  132       4.955919495871e-10       1.456045413901e-13      -5.508485453311e-12       0.000000000000e+00       5.100210225974e-12       8.458711816778e-13      -5.250511344587e-15 
  133       5.001235508437e-10       1.460739628330e-13      -5.561503475274e-12       0.000000000000e+00       4.993653553571e-12       8.315803762893e-13      -5.168585779288e-15 
  134       5.046525726267e-10       1.464789376713e-13      -5.612295932560e-12       0.000000000000e+00       4.889940865055e-12       8.176366937682e-13      -5.087586329177e-15 
  135       5.091781230362e-10       1.468190944474e-13      -5.660800903731e-12       0.000000000000e+00       4.788960074317e-12       8.041796287583e-13      -5.012629471800e-15 
  136       5.136992208181e-10       1.470941414714e-13      -5.706957043861e-12       0.000000000000e+00       4.690598145028e-12       7.913117013211e-13      -4.947574933777e-15 
  137       5.182146842872e-10       1.473038990532e-13      -5.750702945756e-12       0.000000000000e+00       4.594795309463e-12       7.789624493826e-13      -4.890189820595e-15 
  138       5.227232281822e-10       1.474482737482e-13      -5.791977784279e-12       0.000000000000e+00       4.501495702621e-12       7.670104041537e-13      -4.836488352097e-15 
  139       5.272234962371e-10       1.475272505283e-13      -5.830721563997e-12       0.000000000000e+00       4.410630019970e-12       7.553253090831e-13      -4.782234922806e-15 
  140       5.317140595872e-10       1.475408944834e-13      -5.866875155990e-12       0.000000000000e+00       4.322115195624e-12       7.437679485625e-13      -4.722939480571e-15 
  141       5.361934151749e-10       1.474893525208e-13      -5.900380334675e-12       0.000000000000e+00       4.235854080518e-12       7.321899766313e-13      -4.653852905207e-15 
  142       5.406600717160e-10       1.473728608251e-13      -5.931180155593e-12       0.000000000000e+00       4.151750321939e-12       7.204806954216e-13      -4.571587213066e-15 
  143       5.451128206536e-10       1.471917644853e-13      -5.959220053566e-12       0.000000000000e+00       4.069755358588e-12       7.087130231928e-13      -4.479168492438e-15 
  144       5.495504893802e-10       1.469465030679e-13      -5.984446924733e-12       0.000000000000e+00       3.989825532571e-12       6.970118563677e-13      -4.381482513545e-15 
  145       5.539718550404e-10       1.466376067531e-13      -6.006808833913e-12       0.000000000000e+00       3.911907079772e-12       6.855085346059e-13      -4.283700172944e-15 
  146       5.583756434539e-10       1.462656980688e-13      -6.026255053437e-12       0.000000000000e+00       3.835935897863e-12       6.743409469626e-13      -4.191282474213e-15 
  147       5.627605280392e-10       1.458314936254e-13      -6.042736101975e-12       0.000000000000e+00       3.761837314310e-12       6.636536380466e-13      -4.109985508640e-15 
  148       5.671251719384e-10       1.453358079653e-13      -6.056204015428e-12       0.000000000000e+00       3.689537007467e-12       6.535570819268e-13      -4.044206380853e-15 
  149       5.714683612183e-10       1.447795618738e-13      -6.066613107013e-12       0.000000000000e+00       3.618995439557e-12       6.440008772353e-13      -3.991831667034e-15 
  150       5.757888824655e-10       1.441637781713e-13      -6.073919354396e-12       0.000000000000e+00       3.550176302802e-12       6.348885250740e-13      -3.948901622876e-15 
  151       5.800854798985e-10       1.434895814006e-13      -6.078080213942e-12       0.000000000000e+00       3.483035493439e-12       6.261170527652e-13      -3.911220803343e-15 
  152       5.843568545254e-10       1.427581995717e-13      -6.079054660804e-12       0.000000000000e+00       3.417520940423e-12       6.175768978131e-13      -3.874354015312e-15 
  153       5.886016633028e-10       1.419709659090e-13      -6.076803229022e-12       0.000000000000e+00       3.353572434132e-12       6.091517918663e-13      -3.833622270207e-15 
  154       5.928185509537e-10       1.411293113856e-13      -6.071287927223e-12       0.000000000000e+00       3.291130034912e-12       6.007440850035e-13      -3.785208346177e-15 
  155       5.970062505001e-10       1.402347378818e-13      -6.062471892627e-12       0.000000000000e+00       3.230160532759e-12       5.923535938156e-13      -3.729596853491e-15 
  156       6.011634904523e-10       1.392888458666e-13      -6.050319781409e-12       0.000000000000e+00       3.170633115836e-12       5.840058474641e-13      -3.668445615931e-15 
  157       6.052889623115e-10       1.382933450705e-13      -6.034797929357e-12       0.000000000000e+00       3.112510883159e-12       5.757273136071e-13      -3.603506134263e-15 
  158       6.093813198922e-10       1.372500561852e-13      -6.015874391347e-12       0.000000000000e+00       3.055750716425e-12       5.675454102561e-13      -3.536625117132e-15 
  159       6.134391786443e-10       1.361609125632e-13      -5.993518980804e-12       0.000000000000e+00       3.000303151849e-12       5.594885176324e-13      -3.469746011963e-15 
  160       6.174611707045e-10       1.350279475479e-13      -5.967703427095e-12       0.000000000000e+00       2.946119556557e-12       5.515803198595e-13      -3.404509610029e-15 
  161       6.214461169766e-10       1.338532516280e-13      -5.938401780543e-12       0.000000000000e+00       2.893174644558e-12       5.438222393096e-13      -3.341012707271e-15 
  162       6.253928691384e-10       1.326390147003e-13      -5.905590119019e-12       0.000000000000e+00       2.841445728507e-12       5.362094547888e-13      -3.278941410223e-15 
  163       6.293002548745e-10       1.313875417164e-13      -5.869246472970e-12       0.000000000000e+00       2.790905501918e-12       5.287364167108e-13      -3.217961795310e-15 
  164       6.331670774592e-10       1.301012543147e-13      -5.829350865433e-12       0.000000000000e+00       2.741521945026e-12       5.213968325394e-13      -3.157719572077e-15 
  165       6.369921153381e-10       1.287826924538e-13      -5.785885352053e-12       0.000000000000e+00       2.693258230648e-12       5.141836522314e-13      -3.097839746423e-15 
  166       6.407741217102e-10       1.274345160445e-13      -5.738834061102e-12       0.000000000000e+00       2.646072630044e-12       5.070890536795e-13      -3.037926283833e-15 
  167       6.445118401322e-10       1.260594757388e-13      -5.688182908497e-12       0.000000000000e+00       2.599924579600e-12       5.001065088336e-13      -2.977654681324e-15 
  168       6.482040537020e-10       1.246603190759e-13      -5.633918631685e-12       0.000000000000e+00       2.554793659414e-12       4.932372105256e-13      -2.917059258262e-15 
  169       6.518495392912e-10       1.232398794154e-13      -5.576029749539e-12       0.000000000000e+00       2.510662061502e-12       4.864841687378e-13      -2.856269849775e-15 
  170       6.554470515543e-10       1.218011075499e-13      -5.514506918273e-12       0.000000000000e+00       2.467508507433e-12       4.798501736576e-13      -2.795421164146e-15 
  171       6.589953225789e-10       1.203470732057e-13      -5.449342970069e-12       0.000000000000e+00       2.425308180546e-12       4.733377900202e-13      -2.734652843427e-15 
  172       6.624930615365e-10       1.188809665437e-13      -5.380532951705e-12       0.000000000000e+00       2.384032658158e-12       4.669493514501e-13      -2.674109524055e-15 
  173       6.659389543326e-10       1.174060996596e-13      -5.308074163183e-12       0.000000000000e+00       2.343649843776e-12       4.606869548040e-13      -2.613940897475e-15 
  174       6.693317261362e-10       1.159258693613e-13      -5.231966027020e-12       0.000000000000e+00       2.304128367588e-12       4.545500757684e-13      -2.554255257439e-15 
  175       6.726703354468e-10       1.144436389364e-13      -5.152209603287e-12       0.000000000000e+00       2.265451334366e-12       4.485282082347e-13      -2.494975743612e-15 
  176       6.759537953398e-10       1.129628495252e-13      -5.068808108703e-12       0.000000000000e+00       2.227603577819e-12       4.426076078688e-13      -2.435972374730e-15 
