# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  105       3.867172341103e-10       1.132861036155e-13      -3.568093766639e-12       4.879026628149e-16       9.558838591399e-12       1.319680480960e-12      -6.704783225879e-15 
  106       3.911746955598e-10       1.151810828334e-13      -3.657567065042e-12       4.973731289727e-16       9.323297910891e-12       1.292779990669e-12      -6.611882733270e-15 
  107       3.956565145739e-10       1.170470196157e-13      -3.746768094498e-12       5.069489145542e-16       9.095166564030e-12       1.266920748037e-12      -6.534519443385e-15 
  108       4.001614743580e-10       1.188820375090e-13      -3.835610299873e-12       5.166310530428e-16       8.874087296022e-12       1.242213431814e-12      -6.479209466008e-15 
  109       4.046890491576e-10       1.206843105116e-13      -3.924026257768e-12       5.264201834164e-16       8.659850865483e-12       1.218563825083e-12      -6.442508954526e-15 
  110       4.092388149869e-10       1.224520261452e-13      -4.011953554107e-12       5.363168396448e-16       8.452242607623e-12       1.195811565462e-12      -6.417999231991e-15 
  111       4.138102404348e-10       1.241833731007e-13      -4.099329856834e-12       5.463215520275e-16       8.250987433052e-12       1.173778523129e-12      -6.398729173801e-15 
  112       4.184026677666e-10       1.258765548899e-13      -4.186089761686e-12       5.564347827275e-16       8.055790766873e-12       1.152290867925e-12      -6.377727933407e-15 
  113       4.230152616702e-10       1.275298307643e-13      -4.272154789392e-12       5.666567239027e-16       7.866471084781e-12       1.131249407650e-12      -6.349643224949e-15 
  114       4.276470469159e-10       1.291414817029e-13      -4.357442202816e-12       5.769874734220e-16       7.682840739770e-12       1.110567276673e-12      -6.309286565476e-15 
  115       4.322969189815e-10       1.307097991828e-13      -4.441868101807e-12       5.874270957745e-16       7.504663322341e-12       1.090147957330e-12      -6.251118971447e-15 
  116       4.369637461253e-10       1.322331101169e-13      -4.525350081251e-12       5.979756460199e-16       7.331691547164e-12       1.069928200116e-12      -6.171765186489e-15 
  117       4.416466981117e-10       1.337098528707e-13      -4.607815547342e-12       6.086332469773e-16       7.163789133821e-12       1.050013229921e-12      -6.077919304341e-15 
  118       4.463449502356e-10       1.351385124970e-13      -4.689194438664e-12       6.194000196763e-16       7.000821182791e-12       1.030557593125e-12      -5.979390609658e-15 
  119       4.510575779120e-10       1.365175989176e-13      -4.769416704568e-12       6.302760585705e-16       6.842615171762e-12       1.011723596720e-12      -5.886682382596e-15 
  120       4.557835536712e-10       1.378456481810e-13      -4.848412340053e-12       6.412614308052e-16       6.688959902120e-12       9.936814441046e-13      -5.811006641873e-15 
  121       4.605218032262e-10       1.391212389150e-13      -4.926110309564e-12       6.523562910908e-16       6.539639435568e-12       9.765518316355e-13      -5.760882233228e-15 
  122       4.652713874965e-10       1.403430411748e-13      -5.002435101750e-12       6.635612430729e-16       6.394541637817e-12       9.602258582393e-13      -5.731447819642e-15 
