# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  163       6.292362520017e-10       1.325471347658e-13      -5.844635974425e-12       1.195398935091e-15       2.790905501918e-12       5.287364167108e-13      -3.217961795310e-15 
  164       6.330868903267e-10       1.312916404115e-13      -5.804368731301e-12       1.211692837407e-15       2.741521945026e-12       5.213968325394e-13      -3.157719572077e-15 
  165       6.368954583743e-10       1.300047358999e-13      -5.760540269962e-12       1.228126512210e-15       2.693258230648e-12       5.141836522314e-13      -3.097839746423e-15 
  166       6.406607113848e-10       1.286890932839e-13      -5.713135345741e-12       1.244700556234e-15       2.646072630044e-12       5.070890536795e-13      -3.037926283833e-15 
  167       6.443813953979e-10       1.273474748840e-13      -5.662140504216e-12       1.261415484088e-15       2.599924579600e-12       5.001065088336e-13      -2.977654681324e-15 
  168       6.480562973769e-10       1.259826382189e-13      -5.607543077178e-12       1.278271482090e-15       2.554793659414e-12       4.932372105256e-13      -2.917059258262e-15 
  169       6.516841985841e-10       1.245974260431e-13      -5.549332177470e-12       1.295268633117e-15       2.510662061502e-12       4.864841687378e-13      -2.856269849775e-15 
  170       6.552638582960e-10       1.231947983355e-13      -5.487499066988e-12       1.312406993755e-15       2.467508507433e-12       4.798501736576e-13      -2.795421164146e-15 
  171       6.587940134570e-10       1.217778337946e-13      -5.422037195402e-12       1.329686593849e-15       2.425308180546e-12       4.733377900202e-13      -2.734652843427e-15 
  172       6.622733783322e-10       1.203497313340e-13      -5.352942238868e-12       1.347107436052e-15       2.384032658158e-12       4.669493514501e-13      -2.674109524055e-15 
  173       6.657006441612e-10       1.189138115776e-13      -5.280212138755e-12       1.364669495379e-15       2.343649843776e-12       4.606869548040e-13      -2.613940897475e-15 
  174       6.690745421515e-10       1.174734786675e-13      -5.203846949012e-12       1.382372595993e-15       2.304128367588e-12       4.545500757684e-13      -2.554255257439e-15 
  175       6.723940389783e-10       1.160320990459e-13      -5.123848283258e-12       1.400216031192e-15       2.265451334366e-12       4.485282082347e-13      -2.494975743612e-15 
  176       6.756581567208e-10       1.145931155573e-13      -5.040219896409e-12       1.418198911266e-15       2.227603577819e-12       4.426076078688e-13      -2.435972374730e-15 
